1,All Messed Up,Sum 41,164,angry,Another day wasted out of timeI can't get out of thisAltered state of mindI'm going overboardMy conscience meets declineInto realityI know this can't be fineCause I'm all messed upMaking prefect nonsenseDrowning in my doubt too wellCause I'm all messed upGoing nowhere fast but circles in my mindSo blindWho are these voices in my headI can't go on like thisLiving like the deadI haven't slept so longFeeling sad I dreadI'm talking to myselfForgot what I just saidCause I'm all messed upMaking prefect nonsenseDrowning in my doubt too wellCause I'm all messed upGoing nowhere fast but circles in my mindSo blindWell I hold my only enemy as closely as a friendAnd I sold my own reality to further my descentSelf-destruction taking over it's so easy to pretendIntroduction to this nightmare may never endCan anyone help me drag my heelsI'm running overtimeI can't hold down my mealsMy mind is racing byStaring blankly feelsLike pulling out my teethWhile this engine windsCause I'm all messed upMaking prefect nonsenseDrowning in my doubt too wellCause I'm all messed upGoing nowhere fast but circles in my mindSo blind
2,All Nightmare Long,Metallica,477,angry,"Crawl from the wreckage one more timeHorrific memory twists the mindDark, rugged, cold and hard to turnPath of destruction, feel it burnStill lifeIncarnationStill lifeInfamyHallucinationHeresyStill you run, what's to come?What's today?'Cause we hunt you down without mercyHunt you down all nightmare longFeel us breathe upon your faceFeel us shift, every move we traceHunt you down without mercyHunt you down all nightmare long, yeahLuck. Runs.I crawl back inBut your luck runs outLuck. Runs. Out.The light that is not light is hereTo flush you out with your own fearYou hide, you hide, but will be foundRelease your crypt without a soundStill lifeImmolationStill lifeInfamyHallucinationHeresyStill you run, what's to come?What's today?'Cause we hunt you down without mercyHunt you down all nightmare longFeel us breathe upon your faceFeel us shift, every move we traceHunt you down without mercyHunt you down all nightmare longLuck. Runs.I crawl back inBut your luck runs outThen you crawl back inInto your obsessionNever to returnThis is your confessionHunt you down without mercyHunt you down all nightmare longFeel us breathe upon your faceFeel us shift, every move we traceHunt you down without mercyHunt you down all nightmare long, yeahLuck. Runs.I crawl back inBut your luck runs outYour luck runs out"
3,American Idiot (Album Version),Green Day,176,angry,Don't wanna be an American idiot. Don't want a nation that under the new media.  And can you hear the sound of hysteria? The subliminal mindfuck America.  Welcome to a new kind of tension.  All across the alien nation. Everything isn't meant to be okay.  Television dreams of tomorrow.  We're not the ones who're meant to follow.  Convincing them to walk you.  Well maybe I'm the fuckhead America.  I'm not a part of a redneck agenda. Now everybody do the propaganda.  And sing along in the age of paranoia.  Welcome to a new kind of tension.  All across the alien nation.  Everything isn't meant to be okay.  Television dreams of tomorrow.  We're not the ones who're meant to follow.  Convincing them to walk you.  Don't wanna be an American idiot.  Don't want a nation controlled by the media. Information nation of hysteria.  It's going out to idiot America.  Welcome to a new kind of tension.  All across the alien nation.   Everything isn't meant to be okay.  Television dreams of tomorrow.  We're not the ones who're meant to follow.  Convincing them to walk you.  
4,Angry Again,Megadeth,242,angry,"The more of you that I inspectThe more of me I see reflectThe more I try to read your lipsThe more the mask youre wearing ripsBut when I seek out your voiceMy ears are overcome with noiseYou show and tell with greatest easeRaving impossibilitiesEngaged in crime I grasp my throatEnraged my mind starts to smokeEnforce a mental overloadAngry again, angry again, angry owAnd when the story takes a twistIf folds like a contortionistSlight of hand and quick exchangeThe old tricks have been rearrangedEngaged in crime I grasp my throatEnraged my mind starts to smokeEnforce a mental overloadAngry again, angry again, angryThe searing of the sinewMy body fights for airThe ripping of the tissueMy lungs begin to tearGravitys got my bonesIt pulls my flesh awayThe steam finally dissipatesI make out my sweaty faceAssociation that I chooseGame I inevitably loseGoverned by laws set up by meFracture its jaw to let me beA cut-out cardboard condo mazeFilled with an insubordinate raceIrrational youths stop to stareAs music rubber hosed the airEngaged in crime I grasp my throatEnraged my mind starts to smokeEnforce a mental overloadAngry again, angry again, angry againAnd again and again, againEngaged in crime I grasp my throatEnraged my mind starts to smokeEnforce a mental overloadAngry again, angry again, angry ow"
5,Annihilation By The Hands Of God (Album Version),Roadrunner United,333,angry,"The prophets of God have left you solaced indeedA zombie of Jesus insane with his beliefIs all that you know and all you take as you goYou're one with the rich and only take from the poorNailed to the cross by your hands and your feetYour washed up religion is now worthless and weakTenacious conviction has caught up with your soulThere's no place for mercy in the myths of your lordLittle lamb of sacrifice, full of Bible hymnsHiding in the house of God, from his sufferingPray the son will come and call just to make us deadBring upon the end of times orship if you dareWiping out masses just for shits and a grinIs all an illusion of the spell that you're inReligious confliction has impaired your controlIn his resurrection, revelations unfoldHe is you the sacrifice, in the house of blessCrucify yourself to death just to get to himDie? will you?Annihilation by the hands of GodMutilate me?Annihilation by the hands of GodUnforgiving?Annihilation by the hands of GodChrist ill willing?Annihilation by the hands of GodHeaven hates you?When it's time, I won't look backHeaven's gates under attackSatan?Satan?Satan?Satan?Little lamb of sacrifice, full of Bible hymnsHiding in the house of God, from his sufferingPray the son will come and call just to make us deadBring upon the end of times? worship if you dareAnnihilation by the hands of GodMutilate me?Annihilation by the hands of GodUnforgiving?Annihilation by the hands of GodChrist ill willing?Annihilation by the hands of GodHeaven hates you"
6,Another Time Around,Sum 41,416,angry,"In my years, I've seen all sounds of misconception.In my years, I've done all I can live to question.What happened to me I don't understand.I've seen all I can see as my time expands.Bored I am, bored of my own desperation,I can't defend, can't find my own destination.What happened to me I don't understand.I've seen all I can see as my time expands.So what's up with you, what's up with me.I'm not the one I can't pretend,What would I be if I did it all again.And I sometimes wish I would have asked someThen maybe I would have a clearer life perception.What's up with you, what's up with me.another time around"
7,Awaken,Disturbed,269,angry,"Stripped of life, aloneIn the midst of something that IWant to play with your evil insideWanting, letting goOf what never could be againLost and aloneImprisoned now inside your mindWith the way you tried to destroy me againYou were waiting and living for no oneWith the way you triedTo completely refuse all your lifeFeed on your nothingYou'll never live up to meAwaken youWith a little evil insideFeed on your nothingYou'll never live up to meI've stricken youI don't want to live with the lieFeed on your nothingAnd you'll never live up to meAwaken you, you knowCan't live up to meI've stricken youFeed on your nothingAnd you'll never live up to meStripped of life, aloneIn the midst of something that IWant to play with your evil insideWanting, letting goOf what never could be againLost and aloneImprisoned now inside your mindWith the way you tried to destroy me againYou were waiting and living for no oneWith the way you triedTo completely refuse all your lifeFeed on your nothingYou'll never live up to meAwaken youWith a little evil insideFeed on your nothingYou'll never live up to meI've stricken youI don't want to live with the lieFeed on your nothingAnd you'll never live up to meAwaken you, you knowCan't live up to meI've stricken youCan't live up to meThere isn't a thing that I can doWatching this whole thing just wash awayMaking me longThere isn't a thing that I can doWatching this whole thing just wash awayMaking me longMaking you strongAwaken youWith a little evil insideFeed on your nothingYou'll never live up to meI've stricken youI don't want to live with the lieFeed on your nothingAnd you'll never live up to meOoh, Can't live up to meFeed on your nothingYou'll never live up to me"
8,Ballad Of Ira Hayes,Johnny Cash,173,angry,"Ira Hayes  Ira Hayes Call him drunken Ira HayesHe won't answer anymoreNot the whiskey drinkin' IndianNor the Marine that went to warGather round me people there's a story I would tellAbout a brave young Indian you should remember wellFrom the tribe of the Pima IndianA proud and peaceful bandWho farmed the Phoenix valley in Arizona landDown the ditches for a thousand yearsThe water grew Ira's peoples' crops'Till the white man stole the water rightsAnd the sparklin' water stoppedNow Ira's folks were hungryAnd their land grew crops of weedsWhen war came, Ira volunteeredAnd forgot the white man's greedCall him drunken Ira HayesHe won't answer anymoreNot the whiskey drinkin' IndianNor the Marine that went to warThere they battled up Iwo Jima's hill,Two hundred and fifty menBut only twenty-seven lived to fight back down againAnd when the fight was overAnd when Old Glory raisedAmong the men who held it highWas the Indian, Ira HayesCall him drunken Ira HayesHe won't answer anymoreNot the whiskey drinkin' IndianNor the Marine that went to warIra returned a heroCelebrated through the landHe was wined and speeched and honored;Everybody shook his handBut he was just a Pima IndianNo water, no crops, no chanceAt home nobody cared what Ira'd doneAnd when did the Indians danceCall him drunken Ira HayesHe won't answer anymoreNot the whiskey drinkin' IndianNor the Marine that went to warThen Ira started drinkin' hard;Jail was often his homeThey'd let him raise the flag and lower itlike you'd throw a dog a bone!He died drunk early one mornin'Alone in the land he fought to saveTwo inches of water in a lonely ditchWas a grave for Ira HayesCall him drunken Ira HayesHe won't answer anymoreNot the whiskey drinkin' IndianNor the Marine that went to warYeah, call him drunken Ira HayesBut his land is just as dryAnd his ghost is lyin' thirstyIn the ditch where Ira died"
9,Battery,Metallica,316,angry,"Lashing out the action, returning the reactionWeak are ripped and torn awayHypnotizing power, crushing all that cowerBattery is here to staySmashing through the boundariesLunacy has found meCannot stop the BatteryPounding out aggressionTurns into obsessionCannot kill the BatteryCannot kill the familyBattery is found in meBattery,BatteryCrushing all deceivers, mashing non-believersNever ending potencyHungry violence seeker, feeding off the weakerBreeding on insanitySmashing through the boundariesLunacy has found meCannot stop the BatteryPounding out aggressionTurns into obsessionCannot kill the BatteryCannot kill the familyBattery is found in meBattery, BatteryCircle of Destruction, Hammer comes crushingPowerhouse of energyWhipping up a fury, Dominating flurryWe create the BatterySmashing through the boundariesLunacy has found meCannot stop the BatteryPounding out aggressionTurns into obsessionCannot kill the BatteryCannot kill the familyBattery is found in meBattery,Battery,Battery,Battery"
10,Before You Die,Bad Religion,412,angry,"Decayingâ ever faster.Under wear all the imminent disasterOpen up your eyes.As you ruminate the hopeless ends of time.Did you wander out your days lost and resigned?Or recreate the universes in your mind?Everybody is a bastardThe world is, like plaster.Crumblinâ apart from pressure of the blaster, waiting for a sign.And the momentary pleasures take their turn,As the wistful boy runs out of things to learn.The episodes of your are never to return.Scare up some hope,Youâre gonna need it just to cope,You are the decision, numbers donât rely.When you bite the dust,Wasnât the purpose all for trust,Youâll never relive it,Think before you die.Yeah, think, think before you die.Deficit and depravation,In the wake of desperation.We write the morals rectify the nation,Now may be a time.As you ruminate the hopeless ends of time,Do you wonder how your life has been defined?You know eternity canât ever change your mind.You know eternity canât ever change your mind.So, think, think before you die.Whoa, think, think before you die."
